0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1.0,0.9820953,0.9581807,0.98197925,0.98426175,1.0,0.98483044,0.98366654,0.98367405,0.983928,0.9814238,0.98528516,0.98367405,0.9840317,0.9662253,0.98424786,0.9762441,0.99959,0.9837185,0.9886913,0.9863287,0.94522065,0.9447008,0.9378048,0.9283525,0.94092953,0.9432795,0.9380412,0.9469883,0.9429403,0.9447862,0.92613107,0.9449099,0.94128364,0.94593805,0.9260936,0.9437498,0.9438709,0.94522065,0.9451849,0.947419,0.94643134
0.9820953,1.0,0.97053236,0.99372035,0.992363,0.9820953,0.9926485,0.9915761,0.9984985,0.99214554,0.96677333,0.9942489,0.9984985,0.97537875,0.95505035,0.9926075,0.9817842,0.9829998,0.9920094,0.98593146,0.9797764,0.94323856,0.9415709,0.93599105,0.9260726,0.9370897,0.94115376,0.93392617,0.9444223,0.93767667,0.94377035,0.92089695,0.94191897,0.93759125,0.9454396,0.9249351,0.94318694,0.94104755,0.94323856,0.9443417,0.94319713,0.9440263
0.9581807,0.97053236,1.0,0.9686446,0.9674843,0.9581807,0.9688139,0.9696666,0.97280234,0.96546996,0.9529061,0.97148496,0.97280234,0.9524193,0.94659734,0.9668034,0.963657,0.95914966,0.9653986,0.95739967,0.9578092,0.9278128,0.93073165,0.93048936,0.9112142,0.9205033,0.9264625,0.91785836,0.9278075,0.9290657,0.92784667,0.92134184,0.93047094,0.92840874,0.92862093,0.9173517,0.9276141,0.92740715,0.9278128,0.9279394,0.92806065,0.9289585
0.98197925,0.99372035,0.9686446,1.0,0.9894877,0.98197925,0.990167,0.9890392,0.9950167,0.9937923,0.96215516,0.99115884,0.9950167,0.97492576,0.95213276,0.98977625,0.98353845,0.9828649,0.9937426,0.9850238,0.98060775,0.93838584,0.93947965,0.93939847,0.92379475,0.93403584,0.93651634,0.93164617,0.9392831,0.93712664,0.9401614,0.92108697,0.93897057,0.93601155,0.93954676,0.92189723,0.93784094,0.9388699,0.93838584,0.94043934,0.9400024,0.93959856
0.98426175,0.992363,0.9674843,0.9894877,1.0,0.98426175,0.9991342,0.9952057,0.9925101,0.9877129,0.9763722,0.9964176,0.9925101,0.97619087,0.96375805,0.99725044,0.9764503,0.9842384,0.98741925,0.9812119,0.98577327,0.94574547,0.94636387,0.9366315,0.92891616,0.94321924,0.94413906,0.94009024,0.9476931,0.94238013,0.9459929,0.9234674,0.9471196,0.94147485,0.94749284,0.92659825,0.94539624,0.9443618,0.94574547,0.94661516,0.94576097,0.9456391
1.0,0.9820953,0.9581807,0.98197925,0.98426175,1.0,0.98483044,0.98366654,0.98367405,0.983928,0.9814238,0.98528516,0.98367405,0.9840317,0.9662253,0.98424786,0.9762441,0.99959,0.9837185,0.9886913,0.9863287,0.94522065,0.9447008,0.9378048,0.9283525,0.94092953,0.9432795,0.9380412,0.9469883,0.9429403,0.9447862,0.92613107,0.9449099,0.94128364,0.94593805,0.9260936,0.9437498,0.9438709,0.94522065,0.9451849,0.947419,0.94643134
0.98483044,0.9926485,0.9688139,0.990167,0.9991342,0.98483044,1.0,0.9956695,0.99264723,0.9884601,0.9764303,0.9967691,0.99264723,0.97690004,0.96357554,0.9965617,0.97722316,0.9848481,0.9881762,0.9825431,0.9869577,0.94403625,0.945333,0.9368087,0.9264813,0.9415989,0.9423772,0.9383039,0.945889,0.9412935,0.944532,0.9218412,0.9459737,0.94011974,0.945272,0.924362,0.9441135,0.9434501,0.94403625,0.9451207,0.9445406,0.944181
0.98366654,0.9915761,0.9696666,0.9890392,0.9952057,0.98366654,0.9956695,1.0,0.9915614,0.98686355,0.97756267,0.996666,0.9915614,0.9784546,0.9680473,0.9952195,0.9772894,0.98408484,0.98666996,0.98125833,0.98609096,0.9466447,0.947241,0.9377577,0.9327541,0.94366497,0.94562536,0.9404935,0.9488713,0.94389945,0.947532,0.9277012,0.9481007,0.943474,0.9486655,0.9308957,0.94684094,0.9463885,0.9466447,0.9478312,0.94742143,0.94658756
0.98367405,0.9984985,0.97280234,0.9950167,0.9925101,0.98367405,0.99264723,0.9915614,1.0,0.99309134,0.96767277,0.9944516,1.0,0.9767961,0.9569673,0.99246883,0.98375165,0.98456275,0.9929306,0.98655754,0.98082626,0.9453128,0.9436871,0.9390429,0.92852306,0.9388168,0.9432394,0.935752,0.94613194,0.9405443,0.9460032,0.92429936,0.94384366,0.93990123,0.94665337,0.92845887,0.9447606,0.9439401,0.9453128,0.9463255,0.9459097,0.9462023
0.983928,0.99214554,0.96546996,0.9937923,0.9877129,0.983928,0.9884601,0.98686355,0.99309134,1.0,0.9636561,0.988798,0.99309134,0.97896445,0.954265,0.9882405,0.989098,0.98499846,0.9999595,0.9858495,0.9848569,0.93936676,0.93961555,0.9394973,0.92252207,0.9339644,0.9386008,0.9313514,0.9405323,0.9368553,0.94053096,0.9202457,0.93940383,0.93522495,0.939644,0.9198171,0.9378102,0.9378454,0.93936676,0.94057035,0.94144756,0.940517
