subset,n_protein,sumAA,time
1,1000,183614,93.66522073745728
2,5000,912633,533.57799077034
3,10000,1838625,1296.033569574356
4,15000,2743001,2188.5465774536133
5,20000,3629306,3395.581369161606
6,25000,4541290,4777.286243200302
7,30000,5448029,6466.299311637878
